"GEOID","com","xYear","n","Year"
"0252845","Naukati Bay","x1995",114,1995
"0252845","Naukati Bay","x2009",115.2,2009
"0252845","Naukati Bay","x2002",130.6,2002
"0252845","Naukati Bay","x1996",118.2,1996
"0252845","Naukati Bay","x2010",113,2010
"0252845","Naukati Bay","x2003",128.4,2003
"0252845","Naukati Bay","x2008",117.4,2008
"0252845","Naukati Bay","x2001",132.8,2001
"0252845","Naukati Bay","x1994",109.8,1994
"0252845","Naukati Bay","x2005",124,2005
"0252845","Naukati Bay","x1998",126.6,1998
"0252845","Naukati Bay","x1991",97.2,1991
"0252845","Naukati Bay","x2006",121.8,2006
"0252845","Naukati Bay","x1999",130.8,1999
"0252845","Naukati Bay","x1992",101.4,1992
"0252845","Naukati Bay","x1997",122.4,1997
"0252845","Naukati Bay","x2007",119.6,2007
"0252845","Naukati Bay","x2000",135,2000
"0252845","Naukati Bay","x2004",126.2,2004
"0252845","Naukati Bay","x1993",105.6,1993
"0252845","Naukati Bay","x1990",93,1990
"0259650","Pelican","x1990",222,1990
"0259650","Pelican","x1994",198.4,1994
"0259650","Pelican","x1992",210.2,1992
"0259650","Pelican","x2009",95.5,2009
"0259650","Pelican","x2002",148,2002
"0259650","Pelican","x1995",192.5,1995
"0259650","Pelican","x2006",118,2006
"0259650","Pelican","x2010",88,2010
"0259650","Pelican","x2003",140.5,2003
"0259650","Pelican","x1996",186.6,1996
"0259650","Pelican","x2001",155.5,2001
"0259650","Pelican","x1993",204.3,1993
"0259650","Pelican","x2004",133,2004
"0259650","Pelican","x2008",103,2008
"0259650","Pelican","x1997",180.7,1997
"0259650","Pelican","x2007",110.5,2007
"0259650","Pelican","x2005",125.5,2005
"0259650","Pelican","x1991",216.1,1991
"0259650","Pelican","x1998",174.8,1998
"0259650","Pelican","x1999",168.9,1999
"0259650","Pelican","x2000",163,2000
"0260310","Petersburg","x2001",3196.4,2001
"0260310","Petersburg","x1992",3210.4,1992
"0260310","Petersburg","x1994",3213.8,1994
"0260310","Petersburg","x1995",3215.5,1995
"0260310","Petersburg","x1993",3212.1,1993
"0260310","Petersburg","x1991",3208.7,1991
"0260310","Petersburg","x1990",3207,1990
"0260310","Petersburg","x2008",3003.2,2008
"0260310","Petersburg","x2003",3141.2,2003
"0260310","Petersburg","x2010",2948,2010
"0260310","Petersburg","x2009",2975.6,2009
"0260310","Petersburg","x2002",3168.8,2002
"0260310","Petersburg","x2004",3113.6,2004
"0260310","Petersburg","x1999",3222.3,1999
"0260310","Petersburg","x2006",3058.4,2006
"0260310","Petersburg","x1996",3217.2,1996
"0260310","Petersburg","x2005",3086,2005
"0260310","Petersburg","x2000",3224,2000
"0260310","Petersburg","x2007",3030.8,2007
"0260310","Petersburg","x1997",3218.9,1997
"0260310","Petersburg","x1998",3220.6,1998
"0270540","Sitka","x1994",8686.8,1994
"0270540","Sitka","x2001",8839.6,2001
"0270540","Sitka","x1992",8637.4,1992
"0270540","Sitka","x1995",8711.5,1995
