"Var1","Var2","value"
"N18","Juneau",2.1998285194398e-05
"N27","Juneau",8.8203811982505e-06
"N21","Juneau",2.5295173172412e-05
"N26","Juneau",1.68622589928504e-05
"N25","Juneau",2.377246546354e-05
"N24","Juneau",2.92104016782992e-05
"N17","Juneau",1.11854640612098e-05
"N12","Juneau",1.04151097755415e-05
"N19","Juneau",7.89876611944791e-06
"S23","Juneau",5.95057717034941e-06
"S16","Juneau",2.97809400666085e-06
"S24","Juneau",2.15402931041483e-06
"S21","Juneau",3.53517474412382e-06
"S18","Juneau",3.01758694431667e-06
"S19","Juneau",3.63217746617388e-06
"S09","Juneau",4.81063714774601e-06
"S10","Petersburg",1.11380223314028e-05
"N07","Petersburg",4.77370385465877e-06
"N09","Petersburg",6.15656076929898e-06
"GBYA","Petersburg",3.103674120962e-06
"N02","Petersburg",4.25862037609277e-06
"N01","Petersburg",2.9794320088388e-06
"N03","Petersburg",5.00229493086899e-06
"N04","Petersburg",5.55636737913247e-06
"N05","Petersburg",5.99339088690576e-06
"N06","Petersburg",7.43416451468556e-06
"N10","Petersburg",7.42861211028939e-06
"N11","Petersburg",1.04937326607493e-05
"N08","Petersburg",4.32073746738802e-06
"S05","Petersburg",4.48649556351905e-06
"S04","Petersburg",5.45076665111383e-06
"S06","Petersburg",4.5794431657997e-06
"S03","Petersburg",6.32278748662715e-06
"S02","Petersburg",7.16616020819002e-06
"S01","Petersburg",9.53845247041476e-06
"S07","Petersburg",1.16767090480279e-05
"S08","Petersburg",1.79639779643511e-05
"S12","Petersburg",1.7010493758367e-05
"S11","Petersburg",2.7141509267387e-05
"S15","Petersburg",4.73958004165359e-06
"S14","Petersburg",4.28452832101924e-06
"YAK","Petersburg",1.9106239355653e-06
"GBYC","Petersburg",3.96850152105193e-06
"GBYB","Petersburg",3.45136550559959e-06
"S13","Petersburg",4.47016577010237e-06
"S20","Petersburg",1.19495198025334e-05
"S17","Petersburg",6.70949457942784e-06
"N15","Petersburg",5.82326384761829e-06
"S22","Petersburg",2.3224265519662e-05
"N20","Petersburg",5.63407016940156e-06
"N14","Petersburg",5.57448942019292e-06
"N16","Petersburg",5.02032814032695e-06
"N23","Petersburg",8.58711634328163e-06
"N22","Petersburg",6.00522826187734e-06
"N13","Petersburg",7.82523800642262e-06
"N18","Petersburg",6.94358955209806e-06
"N27","Petersburg",3.31742782871527e-06
"N21","Petersburg",4.81306055608504e-06
"N26","Petersburg",4.11425236849153e-06
"N25","Petersburg",4.3643178343336e-06
"N24","Petersburg",4.77362178666379e-06
"N17","Petersburg",9.79384058322071e-06
"N12","Petersburg",1.01325337389264e-05
"N19","Petersburg",1.62149541438721e-05
"S23","Petersburg",4.92420374124218e-05
"S16","Petersburg",6.66906835692373e-06
"S24","Petersburg",3.61415366642967e-06
"S21","Petersburg",1.01003013260392e-05
"S18","Petersburg",6.708756814948e-06
"S19","Petersburg",1.12892910995587e-05
"S09","Petersburg",1.51888090125167e-05
"S10","Hoonah",3.99611991945624e-06
"N07","Hoonah",8.13284098423696e-05
"N09","Hoonah",1.4286528903242e-05
"GBYA","Hoonah",8.73405856044777e-06
"N02","Hoonah",2.00649923471949e-05
"N01","Hoonah",7.56410313143409e-06
"N03","Hoonah",1.27656371888984e-05
"N04","Hoonah",8.33140074663296e-06
"N05","Hoonah",8.06671929669425e-06
"N06","Hoonah",5.88684804234493e-06
"N10","Hoonah",1.07243404417165e-05
"N11","Hoonah",7.56331961443337e-06
"N08","Hoonah",3.50110305628878e-05
"S05","Hoonah",2.4357032744786e-06
"S04","Hoonah",2.83213389312178e-06
"S06","Hoonah",2.51758825933005e-06
"S03","Hoonah",3.05886962899942e-06
"S02","Hoonah",3.3156615095313e-06
"S01","Hoonah",4.11139873677772e-06
"S07","Hoonah",5.11384289569202e-06
"S08","Hoonah",5.83561542117136e-06
"S12","Hoonah",4.29184550442974e-06
"S11","Hoonah",4.24062727456893e-06
"S15","Hoonah",2.46996896332245e-06
"S14","Hoonah",2.30803811999891e-06
"YAK","Hoonah",3.15522249352355e-06
"GBYC","Hoonah",2.28241234749205e-05
"GBYB","Hoonah",1.18774824358771e-05
"S13","Hoonah",2.39286217947684e-06
"S20","Hoonah",3.68763091232402e-06
"S17","Hoonah",2.83664283981874e-06
"N15","Hoonah",2.37606033482216e-05
"S22","Hoonah",3.98492359012234e-06
"N20","Hoonah",1.63795314946042e-05
"N14","Hoonah",3.41867890098596e-05
"N16","Hoonah",8.72504885549382e-05
"N23","Hoonah",1.04882570434992e-05
"N22","Hoonah",2.25132411928815e-05
"N13","Hoonah",1.15249345881166e-05
"N18","Hoonah",1.29728243110473e-05
"N27","Hoonah",8.5115098341132e-06
"N21","Hoonah",3.50940148316136e-05
"N26","Hoonah",1.73047623767377e-05
"N25","Hoonah",1.63464252439331e-05
"N24","Hoonah",2.72467204096443e-05
"N17","Hoonah",7.86318939055516e-06
"N12","Hoonah",9.10055825148181e-06
"N19","Hoonah",6.58935039668236e-06
"S23","Hoonah",5.26416404497993e-06
"S16","Hoonah",2.89728436678018e-06
"S24","Hoonah",2.07238947181489e-06
"S21","Hoonah",3.25533511705994e-06
"S18","Hoonah",2.79988557860771e-06
"S19","Hoonah",3.47064077344582e-06
"S09","Hoonah",4.82000696633292e-06
"S10","Pelican",3.81292366719549e-06
"N07","Pelican",2.57797433441392e-05
"N09","Pelican",1.30956198509511e-05
"GBYA","Pelican",9.35579812973268e-06
"N02","Pelican",0.000554815451990611
"N01","Pelican",9.94146186607178e-06
"N03","Pelican",1.77860507429738e-05
"N04","Pelican",9.64253154490427e-06
"N05","Pelican",8.873415857566e-06
"N06","Pelican",5.98039121064051e-06
"N10","Pelican",9.49907262474302e-06
"N11","Pelican",6.75399843951012e-06
"N08","Pelican",1.63409942671793e-05
"S05","Pelican",2.36881318297724e-06
"S04","Pelican",2.77397848674827e-06
"S06","Pelican",2.46337444393261e-06
"S03","Pelican",2.98236752994655e-06
"S02","Pelican",3.22957507160044e-06
"S01","Pelican",3.98480289446597e-06
"S07","Pelican",4.86914943562744e-06
"S08","Pelican",5.23463039054729e-06
"S12","Pelican",3.99641381802711e-06
"S11","Pelican",3.86523973769509e-06
"S15","Pelican",2.38565896580542e-06
"S14","Pelican",2.22191301896899e-06
"YAK","Pelican",3.46303834408447e-06
"GBYC","Pelican",1.95707951544896e-05
"GBYB","Pelican",1.12361983624112e-05
"S13","Pelican",2.31431391822395e-06
"S20","Pelican",3.46942552912769e-06
"S17","Pelican",2.68145829268725e-06
"N15","Pelican",1.51233184540995e-05
"S22","Pelican",3.60864928990702e-06
"N20","Pelican",9.06499916508897e-06
"N14","Pelican",1.52049895727602e-05
"N16","Pelican",1.66085821957231e-05
"N23","Pelican",8.35547846741424e-06
"N22","Pelican",1.14541251352651e-05
"N13","Pelican",7.87290497532299e-06
"N18","Pelican",8.24126743518675e-06
"N27","Pelican",7.09693423334713e-06
"N21","Pelican",1.30577309178441e-05
"N26","Pelican",1.07119635652091e-05
"N25","Pelican",9.62134290466173e-06
"N24","Pelican",1.18687337112272e-05
"N17","Pelican",5.93575502611753e-06
"N12","Pelican",7.03131560074264e-06
"N19","Pelican",5.38685410481471e-06
"S23","Pelican",4.55063552323452e-06
"S16","Pelican",2.76575529933665e-06
"S24","Pelican",1.98728550319779e-06
"S21","Pelican",2.98949261682708e-06
"S18","Pelican",2.60086956641857e-06
"S19","Pelican",3.24308344262798e-06
"S09","Pelican",4.50784817486754e-06
"S10","Gustavus",3.46751124981826e-06
"N07","Gustavus",2.31184472642081e-05
"N09","Gustavus",9.39094889455759e-06
"GBYA","Gustavus",1.28505363312625e-05
"N02","Gustavus",1.68429741938256e-05
"N01","Gustavus",9.43906281225631e-06
"N03","Gustavus",9.44323496334492e-06
"N04","Gustavus",6.59963713930596e-06
"N05","Gustavus",6.3552147248806e-06
"N06","Gustavus",4.85040160995565e-06
"N10","Gustavus",7.62907962167964e-06
"N11","Gustavus",5.8697378320434e-06
"N08","Gustavus",7.13970080284267e-05
"S05","Gustavus",2.22871192351287e-06
"S04","Gustavus",2.55644750774861e-06
"S06","Gustavus",2.29705748835508e-06
"S03","Gustavus",2.73953950600845e-06
"S02","Gustavus",2.94394383338736e-06
"S01","Gustavus",3.55562023613705e-06
"S07","Gustavus",4.28044092975408e-06
"S08","Gustavus",4.77931628395322e-06
"S12","Gustavus",3.69076602167716e-06
"S11","Gustavus",3.66308477398097e-06
"S15","Gustavus",2.25798041485238e-06
