"Lam","br1","br2","wr1","wr2","fs1","fs2","ms1","ms2","Gf","Gm"
1.06,0,0.98,0,0.777815667110485,0.825898981015616,0.894450104020078,0.836921115295454,0.893349675340624,0.255234630669535,0.25918518555482
1.21,0,0.98,0,0.93603260443314,0.966297381373524,0.987182250784963,0.955018622707147,0.97624071803072,0.260536904900121,0.257027247854196
1.05,0,0.98,0,0.671457352348028,0.805459716094194,0.909680558683582,0.832157994963604,0.876530091545024,0.250866497609935,0.260553579684693
1.03,0,0.98,0,0.669004452120412,0.803630158944981,0.894278607411193,0.806118098934878,0.892735528546904,0.254096526820395,0.255012693158854
1,0,0.98,0,0.608529728046337,0.787963063191047,0.876334332800815,0.758375735051415,0.849247745484578,0.256852766063423,0.245589064732834
1.14,0,0.98,0,0.821515752037327,0.907213510778431,0.953842878563601,0.883493514694554,0.934264957520049,0.259432833541493,0.251565554672556
1.2,0,0.98,0,0.925999946982211,0.954787626504481,0.982229362519594,0.927819204293332,0.969128926622004,0.259584747124745,0.25107958326789
1,0,0.98,0,0.579288975677665,0.78264887318631,0.877157869079919,0.771942433561858,0.860418983624465,0.256499063782991,0.252417414161396
1.18,0,0.98,0,0.86693856569986,0.934279152311168,0.974454535641196,0.94042444073974,0.964079575947404,0.259204171946605,0.261169414040144
0.98,0,0.98,0,0.551521701961866,0.769838698935094,0.860665182607115,0.75182080750185,0.838303394317287,0.258327427973199,0.251304574227361
1,0,0.98,0,0.643249456553755,0.788920747182545,0.867216614945074,0.772442213639426,0.850993151080373,0.257809790192057,0.251551999027189
1.05,0,0.98,0,0.656559101512511,0.821812191551169,0.906510509283464,0.844119709800543,0.908489166582541,0.256489621113275,0.264522568323736
1.19,0,0.98,0,0.89857536736847,0.941262942635691,0.979281130943543,0.928520665214848,0.971089417250886,0.258459381312552,0.25440418848428
1.02,0,0.98,0,0.6238075566048,0.77686512123133,0.892688595772226,0.811199738939528,0.858989722390159,0.249148230863221,0.261991174861797
1.08,0,0.98,0,0.724793746583019,0.856534591783957,0.912373704413057,0.816191843927343,0.874873895549424,0.260836453344208,0.24656478473761
1.01,0,0.98,0,0.555342999373931,0.795575063080747,0.891495984276959,0.768411713575294,0.860656896980242,0.257638476757069,0.247386490812868
0.98,0,0.98,0,0.558500533533442,0.784800820481149,0.864877193086843,0.771532657441303,0.846972486002339,0.26116341434207,0.256068142637339
0.97,0,0.98,0,0.52280183945808,0.769046634954898,0.860516129009769,0.757173209848082,0.838540019886057,0.259506520938704,0.254870152210656
1.16,0,0.98,0,0.872470341873332,0.938483417995148,0.951741083320285,0.892515635215177,0.953250288773477,0.264480529066139,0.249524045635737
1.19,0,0.98,0,0.897607178045148,0.934474781525087,0.985295985895194,0.929929893768823,0.960045514127792,0.255892573008437,0.254445726123447
1.12,0,0.98,0,0.755257329413099,0.906336671882751,0.932693482827858,0.877943484424921,0.933676122811031,0.266557515290175,0.256987673051686
1.1,0,0.98,0,0.763877407076004,0.863332879099039,0.931847391842823,0.868230825119614,0.901367629635184,0.256484888758026,0.258171114862912
1.05,0,0.98,0,0.651465629835009,0.851737920629127,0.899167112244755,0.809239169931354,0.884823678211312,0.266011894663181,0.250726839109672
1.13,0,0.98,0,0.834558588724408,0.872159518946958,0.945337941057334,0.886479190234976,0.905668450755668,0.252843670053003,0.25767734987768
1.09,0,0.98,0,0.724489803091066,0.870498906553341,0.929051166691351,0.875906897094549,0.912199701596655,0.26044915841673,0.2623099990096
0.97,0,0.98,0,0.52724216467891,0.763825003995588,0.858155306439837,0.74379031786933,0.84142330425984,0.258385128708052,0.250509402107506
1.1,0,0.98,0,0.777962135287322,0.874063984823466,0.924730728257437,0.849309220315205,0.906539812136223,0.259970590881741,0.251435760851619
1.07,0,0.98,0,0.675701534748488,0.843155026094263,0.925979676861043,0.800299707947437,0.899494908045146,0.256589814784061,0.241313128994566
